event_time;symbol;kline_start_time;kline_Close_Time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-12 00:00:00.000;BTCEUR;2021-04-11 23:00:00.000;2021-04-11 23:59:59.999;50183.93000000;50130.46000000;50183.94000000;50010.00000000;55.39869500;7183;2774855.85672435;28.85802000;1445433.89595820
2021-04-12 01:00:00.000;BTCEUR;2021-04-12 00:00:00.000;2021-04-12 00:59:59.999;50129.95000000;50458.89000000;50479.99000000;49989.76000000;115.41130600;7700;5800566.95474078;57.43657800;2886227.72925541
2021-04-12 02:00:00.000;BTCEUR;2021-04-12 01:00:00.000;2021-04-12 01:59:59.999;50444.28000000;50394.44000000;50458.93000000;50231.22000000;54.88542600;3557;2763893.26664826;28.31368700;1425878.17759006
2021-04-12 03:00:00.000;BTCEUR;2021-04-12 02:00:00.000;2021-04-12 02:59:59.999;50389.37000000;50225.10000000;50600.00000000;50031.06000000;86.03943000;4725;4330804.37101387;51.48852500;2593365.55679299
2021-04-12 04:00:00.000;BTCEUR;2021-04-12 03:00:00.000;2021-04-12 03:59:59.999;50228.35000000;50291.09000000;50490.00000000;50223.06000000;38.15670000;2703;1921418.19334988;20.47745500;1031060.85671904
2021-04-12 05:00:00.000;BTCEUR;2021-04-12 04:00:00.000;2021-04-12 04:59:59.999;50291.09000000;50128.38000000;50351.45000000;50050.00000000;34.98757400;2505;1756327.64820654;15.52435200;779145.49354393
2021-04-12 06:00:00.000;BTCEUR;2021-04-12 05:00:00.000;2021-04-12 05:59:59.999;50128.37000000;50595.53000000;50666.99000000;50110.14000000;62.12676200;3201;3135333.09756158;39.38017200;1987865.82504092
2021-04-12 07:00:00.000;BTCEUR;2021-04-12 06:00:00.000;2021-04-12 06:59:59.999;50602.50000000;50438.42000000;50788.00000000;50417.63000000;88.29605100;4742;4468579.25063689;48.42359600;2450698.48798920
2021-04-12 08:00:00.000;BTCEUR;2021-04-12 07:00:00.000;2021-04-12 07:59:59.999;50438.52000000;50530.00000000;50546.94000000;50364.15000000;52.98840900;3953;2674172.26741256;27.84751400;1405445.22648978
2021-04-12 09:00:00.000;BTCEUR;2021-04-12 08:00:00.000;2021-04-12 08:59:59.999;50534.15000000;51037.96000000;51068.29000000;50454.22000000;166.42261100;9319;8453832.91659669;108.93029300;5535716.04641718
2021-04-12 10:00:00.000;BTCEUR;2021-04-12 09:00:00.000;2021-04-12 09:59:59.999;51037.97000000;51080.08000000;51480.19000000;50948.33000000;293.36603700;15419;15012882.14430223;127.87259300;6544667.27600975
2021-04-12 11:00:00.000;BTCEUR;2021-04-12 10:00:00.000;2021-04-12 10:59:59.999;51080.06000000;51062.64000000;51209.27000000;50950.49000000;136.02654100;10042;6948778.19751961;78.64589200;4017620.65308999
2021-04-12 12:00:00.000;BTCEUR;2021-04-12 11:00:00.000;2021-04-12 11:59:59.999;51068.14000000;50421.22000000;51201.06000000;50219.25000000;276.71826200;15481;14062599.81589642;133.31984100;6781626.23794380
2021-04-12 13:00:00.000;BTCEUR;2021-04-12 12:00:00.000;2021-04-12 12:59:59.999;50421.21000000;50238.70000000;50688.73000000;49985.00000000;266.27457500;14143;13401811.14764371;143.26321900;7215233.07966895
2021-04-12 14:00:00.000;BTCEUR;2021-04-12 13:00:00.000;2021-04-12 13:59:59.999;50238.69000000;50634.89000000;50655.00000000;50204.28000000;145.59034600;10495;7344958.96889380;92.36751900;4659182.74703026
2021-04-12 15:00:00.000;BTCEUR;2021-04-12 14:00:00.000;2021-04-12 14:59:59.999;50641.52000000;50752.50000000;50854.29000000;50551.99000000;130.20745600;9253;6599915.16154701;86.87516700;4403557.08705711
2021-04-12 16:00:00.000;BTCEUR;2021-04-12 15:00:00.000;2021-04-12 15:59:59.999;50752.50000000;50700.46000000;50878.38000000;50658.37000000;126.62634400;8941;6426622.12299731;83.23883600;4224398.09804318
2021-04-12 17:00:00.000;BTCEUR;2021-04-12 16:00:00.000;2021-04-12 16:59:59.999;50695.45000000;50347.01000000;50719.56000000;50346.10000000;132.60393200;8865;6700073.55320563;79.08082000;3995893.37175716
