event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-14 00:00:00.000;BTCEUR;2021-04-13 23:00:00.000;2021-04-13 23:59:59.999;52928.77000000;52894.64000000;53040.00000000;52674.47000000;102.58582400;8628;5424287.13860910;66.68087100;3525683.57659699
2021-04-14 01:00:00.000;BTCEUR;2021-04-14 00:00:00.000;2021-04-14 00:59:59.999;52894.53000000;52983.80000000;53022.39000000;52676.00000000;92.20559200;6672;4874126.95323213;53.07338600;2805715.24189933
2021-04-14 02:00:00.000;BTCEUR;2021-04-14 01:00:00.000;2021-04-14 01:59:59.999;52975.75000000;53177.79000000;53250.00000000;52935.43000000;69.91052000;4907;3710650.28517368;39.25897800;2083721.67755061
2021-04-14 03:00:00.000;BTCEUR;2021-04-14 02:00:00.000;2021-04-14 02:59:59.999;53187.44000000;53011.90000000;53395.32000000;52941.40000000;82.49662500;5103;4379661.03390630;40.51423400;2150933.29939982
2021-04-14 04:00:00.000;BTCEUR;2021-04-14 03:00:00.000;2021-04-14 03:59:59.999;53006.60000000;53110.85000000;53125.93000000;52820.51000000;49.24792500;3830;2609930.96256035;26.83169000;1421939.86039616
2021-04-14 05:00:00.000;BTCEUR;2021-04-14 04:00:00.000;2021-04-14 04:59:59.999;53114.14000000;52881.49000000;53114.14000000;52796.66000000;47.25501500;3038;2500642.57973302;24.78886900;1311843.09227243
2021-04-14 06:00:00.000;BTCEUR;2021-04-14 05:00:00.000;2021-04-14 05:59:59.999;52878.76000000;53277.01000000;53359.65000000;52762.72000000;91.33233200;4736;4851181.81575660;42.93383600;2281063.82774764
2021-04-14 07:00:00.000;BTCEUR;2021-04-14 06:00:00.000;2021-04-14 06:59:59.999;53273.36000000;53662.88000000;53666.62000000;53124.17000000;116.97229200;6969;6240128.71308274;70.82413900;3779732.28870880
2021-04-14 08:00:00.000;BTCEUR;2021-04-14 07:00:00.000;2021-04-14 07:59:59.999;53650.07000000;53539.47000000;53912.03000000;53450.65000000;145.95204100;10609;7838342.14994190;77.29400800;4151928.06700289
2021-04-14 09:00:00.000;BTCEUR;2021-04-14 08:00:00.000;2021-04-14 08:59:59.999;53549.98000000;54043.09000000;54126.42000000;53449.12000000;267.89650500;15332;14425458.09722357;143.81628800;7743152.57771967
2021-04-14 10:00:00.000;BTCEUR;2021-04-14 09:00:00.000;2021-04-14 09:59:59.999;54043.11000000;53905.19000000;54107.46000000;53850.00000000;179.35991000;13377;9680231.52246210;98.77812100;5331393.22374165
2021-04-14 11:00:00.000;BTCEUR;2021-04-14 10:00:00.000;2021-04-14 10:59:59.999;53902.97000000;53582.72000000;54060.36000000;53250.00000000;304.07179000;18317;16350432.50821474;180.04197700;9682765.68386693
2021-04-14 12:00:00.000;BTCEUR;2021-04-14 11:00:00.000;2021-04-14 11:59:59.999;53582.63000000;53264.14000000;53745.09000000;52840.00000000;338.96175400;18982;18058702.43989797;153.56489700;8182990.02450950
2021-04-14 13:00:00.000;BTCEUR;2021-04-14 12:00:00.000;2021-04-14 12:59:59.999;53264.14000000;53709.33000000;53741.37000000;53155.26000000;185.92904000;12495;9950352.91144446;119.50895700;6396043.07655276
2021-04-14 14:00:00.000;BTCEUR;2021-04-14 13:00:00.000;2021-04-14 13:59:59.999;53709.32000000;54075.79000000;54296.81000000;53703.66000000;209.25260500;14449;11303595.82383565;117.95251300;6371383.35957923
2021-04-14 15:00:00.000;BTCEUR;2021-04-14 14:00:00.000;2021-04-14 14:59:59.999;54075.79000000;53503.13000000;54165.28000000;53350.00000000;216.88432300;15009;11654855.93645949;118.42785000;6363474.18390865
2021-04-14 16:00:00.000;BTCEUR;2021-04-14 15:00:00.000;2021-04-14 15:59:59.999;53496.31000000;53443.26000000;53962.18000000;53330.13000000;234.81664000;15535;12596046.14861516;135.48405500;7268785.65447685
2021-04-14 17:00:00.000;BTCEUR;2021-04-14 16:00:00.000;2021-04-14 16:59:59.999;53443.26000000;52730.07000000;53443.26000000;52531.38000000;431.05226700;20328;22826385.35230085;240.90396100;12754110.82110206
2021-04-14 18:00:00.000;BTCEUR;2021-04-14 17:00:00.000;2021-04-14 17:59:59.999;52723.30000000;52778.68000000;53034.49000000;52256.58000000;278.80600300;15426;14690947.15361489;147.10286000;7753578.02901053
2021-04-14 19:00:00.000;BTCEUR;2021-04-14 18:00:00.000;2021-04-14 18:59:59.999;52769.61000000;53104.29000000;53242.95000000;52551.90000000;188.77540100;12112;9992793.67596464;121.51141400;6431827.21836287
2021-04-14 20:00:00.000;BTCEUR;2021-04-14 19:00:00.000;2021-04-14 19:59:59.999;53109.91000000;52114.00000000;53315.25000000;52114.00000000;227.72207300;13757;11994280.28470705;120.57478000;6353261.10524644
2021-04-14 21:00:00.000;BTCEUR;2021-04-14 20:00:00.000;2021-04-14 20:59:59.999;52114.00000000;52021.11000000;52496.16000000;51633.90000000;274.79991200;15329;14318317.92262480;123.12993000;6415150.42963213
2021-04-14 22:00:00.000;BTCEUR;2021-04-14 21:00:00.000;2021-04-14 21:59:59.999;52024.12000000;52099.46000000;52348.81000000;51410.00000000;254.52414800;15013;13194917.89675230;122.36435600;6345448.84565055
2021-04-14 23:00:00.000;BTCEUR;2021-04-14 22:00:00.000;2021-04-14 22:59:59.999;52110.71000000;52246.73000000;52301.81000000;51863.48000000;143.32560100;9195;7461525.91898254;73.23363200;3812992.06028916
