event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-15 00:00:00.000;BTCEUR;2021-04-14 23:00:00.000;2021-04-14 23:59:59.999;52246.67000000;52542.75000000;52590.15000000;52209.77000000;102.86179000;9055;5392779.02295923;53.48295900;2803951.43274507
2021-04-15 01:00:00.000;BTCEUR;2021-04-15 00:00:00.000;2021-04-15 00:59:59.999;52542.75000000;52576.61000000;52726.30000000;52356.62000000;94.26330900;6621;4951635.37705988;44.73680100;2350175.12746964
2021-04-15 02:00:00.000;BTCEUR;2021-04-15 01:00:00.000;2021-04-15 01:59:59.999;52569.77000000;52642.53000000;52720.97000000;52338.08000000;60.34745100;4509;3172167.17783849;25.67868100;1349883.08491577
2021-04-15 03:00:00.000;BTCEUR;2021-04-15 02:00:00.000;2021-04-15 02:59:59.999;52635.25000000;52417.99000000;52972.51000000;52416.09000000;86.85939600;4976;4583164.78933586;36.59448300;1931108.99927426
2021-04-15 04:00:00.000;BTCEUR;2021-04-15 03:00:00.000;2021-04-15 03:59:59.999;52416.09000000;52438.70000000;52810.12000000;52342.02000000;62.63407800;3522;3292920.02297976;31.66909200;1665190.96804424
2021-04-15 05:00:00.000;BTCEUR;2021-04-15 04:00:00.000;2021-04-15 04:59:59.999;52437.30000000;52569.00000000;52748.66000000;52153.39000000;71.43971900;3887;3747737.64185116;34.94393200;1833639.83020671
2021-04-15 06:00:00.000;BTCEUR;2021-04-15 05:00:00.000;2021-04-15 05:59:59.999;52553.04000000;52742.12000000;52887.42000000;52430.53000000;63.82489000;3625;3364784.32380290;31.42647400;1656769.46093844
2021-04-15 07:00:00.000;BTCEUR;2021-04-15 06:00:00.000;2021-04-15 06:59:59.999;52750.28000000;52667.72000000;53072.27000000;52633.82000000;88.46866300;4764;4679260.36534916;43.14465300;2282705.21877000
2021-04-15 08:00:00.000;BTCEUR;2021-04-15 07:00:00.000;2021-04-15 07:59:59.999;52667.78000000;52767.87000000;52932.96000000;52462.12000000;67.84985700;5585;3574448.97724974;33.51876700;1765566.18693613
2021-04-15 09:00:00.000;BTCEUR;2021-04-15 08:00:00.000;2021-04-15 08:59:59.999;52768.40000000;52629.25000000;52930.00000000;52473.53000000;114.83335200;7689;6053158.57884478;73.83731300;3891403.09694825
2021-04-15 10:00:00.000;BTCEUR;2021-04-15 09:00:00.000;2021-04-15 09:59:59.999;52629.25000000;52546.80000000;52813.05000000;52471.17000000;147.95624100;9206;7787133.21100778;96.34309000;5070569.57448925
2021-04-15 11:00:00.000;BTCEUR;2021-04-15 10:00:00.000;2021-04-15 10:59:59.999;52541.80000000;52340.72000000;52768.89000000;52256.00000000;141.10610400;9990;7402780.05334707;84.20329600;4417361.43928295
2021-04-15 12:00:00.000;BTCEUR;2021-04-15 11:00:00.000;2021-04-15 11:59:59.999;52340.72000000;52326.55000000;52474.24000000;52225.00000000;127.16438500;9382;6655682.62144884;75.58155300;3956245.59094395
2021-04-15 13:00:00.000;BTCEUR;2021-04-15 12:00:00.000;2021-04-15 12:59:59.999;52326.47000000;52030.24000000;52430.00000000;52024.92000000;135.49002300;10451;7076484.27135380;86.16013000;4499907.38304339
2021-04-15 14:00:00.000;BTCEUR;2021-04-15 13:00:00.000;2021-04-15 13:59:59.999;52030.25000000;52196.45000000;52281.48000000;51961.63000000;141.39899500;10854;7371516.91731046;92.15925300;4805988.42356745
2021-04-15 15:00:00.000;BTCEUR;2021-04-15 14:00:00.000;2021-04-15 14:59:59.999;52174.32000000;52417.17000000;52481.71000000;52172.49000000;117.41648600;9034;6148492.60789090;75.07844900;3930717.52203434
2021-04-15 16:00:00.000;BTCEUR;2021-04-15 15:00:00.000;2021-04-15 15:59:59.999;52418.19000000;52626.79000000;52761.47000000;52404.12000000;143.96358400;9962;7572642.15906620;103.19091000;5427708.36669322
2021-04-15 17:00:00.000;BTCEUR;2021-04-15 16:00:00.000;2021-04-15 16:59:59.999;52626.79000000;52426.28000000;52687.04000000;52368.01000000;133.74251700;9910;7021916.46990883;92.79598300;4872147.92591994
2021-04-15 18:00:00.000;BTCEUR;2021-04-15 17:00:00.000;2021-04-15 17:59:59.999;52425.44000000;52560.68000000;52587.21000000;52241.00000000;126.00741900;10270;6605597.83740449;85.17342000;4465260.13075858
2021-04-15 19:00:00.000;BTCEUR;2021-04-15 18:00:00.000;2021-04-15 18:59:59.999;52560.68000000;52518.39000000;52767.85000000;52345.19000000;120.22691100;10073;6317291.18370211;65.97536700;3465980.72609093
2021-04-15 20:00:00.000;BTCEUR;2021-04-15 19:00:00.000;2021-04-15 19:59:59.999;52518.39000000;52451.47000000;52555.98000000;52251.91000000;111.58157800;9648;5847493.06558124;67.80885400;3553622.90777608
2021-04-15 21:00:00.000;BTCEUR;2021-04-15 20:00:00.000;2021-04-15 20:59:59.999;52451.47000000;52560.41000000;52634.79000000;52372.18000000;92.93877900;9869;4878948.65080001;52.92067700;2777885.42067386
2021-04-15 22:00:00.000;BTCEUR;2021-04-15 21:00:00.000;2021-04-15 21:59:59.999;52560.59000000;53101.90000000;53259.50000000;52555.41000000;191.31588200;15726;10127138.53700299;115.18816200;6096146.46216589
2021-04-15 23:00:00.000;BTCEUR;2021-04-15 22:00:00.000;2021-04-15 22:59:59.999;53087.63000000;53061.57000000;53263.99000000;52940.32000000;165.53595900;15113;8790886.55180035;92.81518900;4929673.89665046
