event_time;symbol;kline_start_time;kline_Close_Time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-10 15:56:00.000;BTCEUR;2021-04-10 15:55:00.000;2021-04-10 15:55:59.999;50397.80000000;50365.20000000;50397.80000000;50350.95000000;1.00680500;139;50716.96083190;0.23811500;11996.51125201
2021-04-10 15:57:00.000;BTCEUR;2021-04-10 15:56:00.000;2021-04-10 15:56:59.999;50365.16000000;50378.54000000;50381.22000000;50357.10000000;0.80957700;157;40775.75325769;0.44423200;22374.86384310
2021-04-10 15:58:00.000;BTCEUR;2021-04-10 15:57:00.000;2021-04-10 15:57:59.999;50378.54000000;50424.07000000;50424.10000000;50365.50000000;4.23048700;216;213209.35574141;3.43903200;173310.81217359
2021-04-10 15:59:00.000;BTCEUR;2021-04-10 15:58:00.000;2021-04-10 15:58:59.999;50423.88000000;50438.38000000;50438.38000000;50410.45000000;1.20177700;125;60601.91067893;0.89642600;45202.31905822
2021-04-10 16:00:00.000;BTCEUR;2021-04-10 15:59:00.000;2021-04-10 15:59:59.999;50438.38000000;50443.39000000;50450.00000000;50438.38000000;0.60272300;144;30404.17994698;0.13504400;6812.24693502
2021-04-10 16:01:00.000;BTCEUR;2021-04-10 16:00:00.000;2021-04-10 16:00:59.999;50443.38000000;50392.76000000;50443.88000000;50392.14000000;5.04871600;245;254556.45175703;0.90308800;45534.26040794
2021-04-10 16:02:00.000;BTCEUR;2021-04-10 16:01:00.000;2021-04-10 16:01:59.999;50392.75000000;50397.55000000;50398.43000000;50375.11000000;1.63805200;162;82546.32586763;1.00200600;50494.12420227
2021-04-10 16:03:00.000;BTCEUR;2021-04-10 16:02:00.000;2021-04-10 16:02:59.999;50397.55000000;50403.14000000;50419.07000000;50387.92000000;0.49530800;107;24964.78750944;0.12703600;6403.31593335
2021-04-10 16:04:00.000;BTCEUR;2021-04-10 16:03:00.000;2021-04-10 16:03:59.999;50396.03000000;50395.28000000;50396.03000000;50365.00000000;0.79571300;123;40082.28099397;0.30189900;15207.75191741
2021-04-10 16:05:00.000;BTCEUR;2021-04-10 16:04:00.000;2021-04-10 16:04:59.999;50395.37000000;50362.87000000;50409.15000000;50362.60000000;0.41772400;123;21049.10462144;0.09156900;4614.68760985
2021-04-10 16:06:00.000;BTCEUR;2021-04-10 16:05:00.000;2021-04-10 16:05:59.999;50362.86000000;50363.96000000;50387.93000000;50362.86000000;0.72937800;188;36744.64404966;0.50322100;25352.42640453
2021-04-10 16:07:00.000;BTCEUR;2021-04-10 16:06:00.000;2021-04-10 16:06:59.999;50363.96000000;50365.87000000;50368.63000000;50354.16000000;0.81354100;115;40972.29816704;0.49618100;24989.94387634
2021-04-10 16:08:00.000;BTCEUR;2021-04-10 16:07:00.000;2021-04-10 16:07:59.999;50365.87000000;50356.60000000;50373.98000000;50329.95000000;2.09840700;186;105650.09447498;1.72385900;86789.77194475
2021-04-10 16:09:00.000;BTCEUR;2021-04-10 16:08:00.000;2021-04-10 16:08:59.999;50355.82000000;50357.32000000;50369.86000000;50350.05000000;0.49216900;127;24788.13684804;0.30895700;15560.77507355
2021-04-10 16:10:00.000;BTCEUR;2021-04-10 16:09:00.000;2021-04-10 16:09:59.999;50357.32000000;50416.51000000;50416.51000000;50356.03000000;3.81153700;177;192052.91467323;3.53630300;178182.66507619
2021-04-10 16:11:00.000;BTCEUR;2021-04-10 16:10:00.000;2021-04-10 16:10:59.999;50416.52000000;50419.14000000;50419.15000000;50409.91000000;0.42328900;111;21340.35968090;0.13440100;6775.93810364
2021-04-10 16:12:00.000;BTCEUR;2021-04-10 16:11:00.000;2021-04-10 16:11:59.999;50420.00000000;50447.57000000;50447.57000000;50406.37000000;0.51301000;115;25872.29063474;0.31419300;15846.74975622
2021-04-10 16:13:00.000;BTCEUR;2021-04-10 16:12:00.000;2021-04-10 16:12:59.999;50447.57000000;50450.00000000;50450.00000000;50431.15000000;0.69018100;142;34814.78615830;0.25444000;12834.60651082
2021-04-10 16:14:00.000;BTCEUR;2021-04-10 16:13:00.000;2021-04-10 16:13:59.999;50449.99000000;50443.35000000;50460.45000000;50440.08000000;1.11991500;218;56496.66659233;0.68090900;34351.22695487
2021-04-10 16:15:00.000;BTCEUR;2021-04-10 16:14:00.000;2021-04-10 16:14:59.999;50442.29000000;50445.17000000;50449.99000000;50440.58000000;0.40629900;84;20495.75731726;0.22483100;11341.65350631
2021-04-10 16:16:00.000;BTCEUR;2021-04-10 16:15:00.000;2021-04-10 16:15:59.999;50445.17000000;50430.01000000;50445.17000000;50426.59000000;1.18368200;125;59700.39085739;0.34576800;17439.05419054
2021-04-10 16:17:00.000;BTCEUR;2021-04-10 16:16:00.000;2021-04-10 16:16:59.999;50430.00000000;50419.04000000;50437.02000000;50411.13000000;3.79152800;178;191195.59439190;1.99188300;100445.43005662
2021-04-10 16:18:00.000;BTCEUR;2021-04-10 16:17:00.000;2021-04-10 16:17:59.999;50411.16000000;50434.57000000;50445.15000000;50411.16000000;1.07474100;158;54203.45152593;0.44086200;22232.95962929
2021-04-10 16:19:00.000;BTCEUR;2021-04-10 16:18:00.000;2021-04-10 16:18:59.999;50434.55000000;50474.04000000;50477.00000000;50431.53000000;1.68074700;177;84803.32837523;1.25176800;63153.37610663
2021-04-10 16:20:00.000;BTCEUR;2021-04-10 16:19:00.000;2021-04-10 16:19:59.999;50474.04000000;50480.88000000;50486.41000000;50462.61000000;1.28256200;151;64742.18871078;0.67555300;34099.98461286
2021-04-10 16:21:00.000;BTCEUR;2021-04-10 16:20:00.000;2021-04-10 16:20:59.999;50480.87000000;50480.32000000;50490.00000000;50470.21000000;0.73769600;168;37241.65025317;0.52331100;26418.43089214
2021-04-10 16:22:00.000;BTCEUR;2021-04-10 16:21:00.000;2021-04-10 16:21:59.999;50481.01000000;50484.31000000;50485.69000000;50471.17000000;0.44159100;127;22291.73445242;0.33296600;16808.67932197
2021-04-10 16:23:00.000;BTCEUR;2021-04-10 16:22:00.000;2021-04-10 16:22:59.999;50484.31000000;50444.57000000;50484.32000000;50443.91000000;1.30287800;143;65751.17132475;0.28807300;14536.29429904
2021-04-10 16:24:00.000;BTCEUR;2021-04-10 16:23:00.000;2021-04-10 16:23:59.999;50444.59000000;50416.06000000;50445.69000000;50413.28000000;0.42172700;117;21269.51242105;0.12618600;6363.91365230
2021-04-10 16:25:00.000;BTCEUR;2021-04-10 16:24:00.000;2021-04-10 16:24:59.999;50416.11000000;50419.05000000;50431.41000000;50413.82000000;0.86389000;159;43562.37267340;0.60127100;30320.34119120
2021-04-10 16:26:00.000;BTCEUR;2021-04-10 16:25:00.000;2021-04-10 16:25:59.999;50419.08000000;50410.59000000;50419.08000000;50385.37000000;2.13591200;206;107651.47536563;1.39402100;70261.89386462
2021-04-10 16:27:00.000;BTCEUR;2021-04-10 16:26:00.000;2021-04-10 16:26:59.999;50410.03000000;50431.90000000;50431.90000000;50396.14000000;1.99566900;164;100627.59432541;1.76514200;89007.91860672
2021-04-10 16:28:00.000;BTCEUR;2021-04-10 16:27:00.000;2021-04-10 16:27:59.999;50444.23000000;50463.81000000;50468.96000000;50440.34000000;1.81918200;140;91778.56783417;0.44888000;22647.52066977
2021-04-10 16:29:00.000;BTCEUR;2021-04-10 16:28:00.000;2021-04-10 16:28:59.999;50463.82000000;50476.51000000;50484.88000000;50454.87000000;2.04769700;171;103354.15521091;0.53477800;26995.26011362
2021-04-10 16:30:00.000;BTCEUR;2021-04-10 16:29:00.000;2021-04-10 16:29:59.999;50481.74000000;50482.46000000;50482.46000000;50454.59000000;0.83690400;126;42241.65522648;0.54470900;27494.78612658
2021-04-10 16:31:00.000;BTCEUR;2021-04-10 16:30:00.000;2021-04-10 16:30:59.999;50482.79000000;50488.68000000;50492.81000000;50481.68000000;0.97056200;116;49001.30913607;0.53412400;26967.13949835
2021-04-10 16:32:00.000;BTCEUR;2021-04-10 16:31:00.000;2021-04-10 16:31:59.999;50488.67000000;50468.93000000;50490.00000000;50468.93000000;2.39103100;156;120709.10507040;0.78784900;39777.52998333
2021-04-10 16:33:00.000;BTCEUR;2021-04-10 16:32:00.000;2021-04-10 16:32:59.999;50469.57000000;50464.92000000;50475.39000000;50454.66000000;0.29145100;127;14708.74356446;0.21496500;10848.86737318
2021-04-10 16:34:00.000;BTCEUR;2021-04-10 16:33:00.000;2021-04-10 16:33:59.999;50463.42000000;50449.94000000;50464.92000000;50437.64000000;1.27842000;181;64495.67570480;0.60589500;30569.59254563
2021-04-10 16:35:00.000;BTCEUR;2021-04-10 16:34:00.000;2021-04-10 16:34:59.999;50450.70000000;50451.95000000;50459.72000000;50449.00000000;0.46283600;103;23351.91509171;0.39732300;20046.55499925
2021-04-10 16:36:00.000;BTCEUR;2021-04-10 16:35:00.000;2021-04-10 16:35:59.999;50453.81000000;50416.25000000;50454.23000000;50415.00000000;0.70547600;138;35576.55597847;0.38810200;19571.33303780
2021-04-10 16:37:00.000;BTCEUR;2021-04-10 16:36:00.000;2021-04-10 16:36:59.999;50424.81000000;50408.93000000;50424.81000000;50400.86000000;1.15865400;188;58408.76875830;0.75912000;38268.19230553
2021-04-10 16:38:00.000;BTCEUR;2021-04-10 16:37:00.000;2021-04-10 16:37:59.999;50408.93000000;50427.24000000;50430.14000000;50408.93000000;0.74476200;146;37549.93282704;0.51307700;25869.15948266
2021-04-10 16:39:00.000;BTCEUR;2021-04-10 16:38:00.000;2021-04-10 16:38:59.999;50427.24000000;50422.12000000;50439.37000000;50418.57000000;1.16142600;166;58569.39491670;0.81869800;41286.76886926
2021-04-10 16:40:00.000;BTCEUR;2021-04-10 16:39:00.000;2021-04-10 16:39:59.999;50422.12000000;50400.34000000;50431.33000000;50400.34000000;0.99891900;146;50355.94918897;0.11220100;5656.19109489
2021-04-10 16:41:00.000;BTCEUR;2021-04-10 16:40:00.000;2021-04-10 16:40:59.999;50400.31000000;50406.72000000;50415.39000000;50400.00000000;1.74865000;139;88133.80638723;0.19549400;9854.29654800
2021-04-10 16:42:00.000;BTCEUR;2021-04-10 16:41:00.000;2021-04-10 16:41:59.999;50406.71000000;50390.44000000;50410.11000000;50385.90000000;1.14724000;207;57818.96616524;0.21030700;10599.75198716
2021-04-10 16:43:00.000;BTCEUR;2021-04-10 16:42:00.000;2021-04-10 16:42:59.999;50391.17000000;50366.73000000;50391.49000000;50360.69000000;1.06755600;147;53778.80690830;0.28082300;14148.99713149
2021-04-10 16:44:00.000;BTCEUR;2021-04-10 16:43:00.000;2021-04-10 16:43:59.999;50360.62000000;50372.08000000;50379.04000000;50355.76000000;1.12057200;221;56436.85449103;0.68565600;34533.87450958
2021-04-10 16:45:00.000;BTCEUR;2021-04-10 16:44:00.000;2021-04-10 16:44:59.999;50372.79000000;50364.84000000;50383.39000000;50360.36000000;0.38791500;168;19539.10817180;0.14817800;7463.97650966
2021-04-10 16:46:00.000;BTCEUR;2021-04-10 16:45:00.000;2021-04-10 16:45:59.999;50364.94000000;50388.43000000;50399.94000000;50364.94000000;0.95449500;145;48086.89356847;0.41032500;20673.36622191
2021-04-10 16:47:00.000;BTCEUR;2021-04-10 16:46:00.000;2021-04-10 16:46:59.999;50387.14000000;50380.00000000;50395.76000000;50377.92000000;0.58188500;133;29319.52642237;0.11809400;5950.71863965
2021-04-10 16:48:00.000;BTCEUR;2021-04-10 16:47:00.000;2021-04-10 16:47:59.999;50380.00000000;50359.99000000;50380.01000000;50357.41000000;1.24427900;137;62673.08304265;0.30611400;15417.43472908
2021-04-10 16:49:00.000;BTCEUR;2021-04-10 16:48:00.000;2021-04-10 16:48:59.999;50360.56000000;50332.48000000;50374.79000000;50328.60000000;1.69966300;203;85583.69749826;0.38703800;19488.80527640
2021-04-10 16:50:00.000;BTCEUR;2021-04-10 16:49:00.000;2021-04-10 16:49:59.999;50346.95000000;50327.16000000;50348.24000000;50286.64000000;3.30017200;207;166016.88937019;0.76407900;38450.26397697
2021-04-10 16:51:00.000;BTCEUR;2021-04-10 16:50:00.000;2021-04-10 16:50:59.999;50327.17000000;50322.31000000;50336.18000000;50311.55000000;0.99439300;140;50045.70395649;0.51303500;25820.51821564
2021-04-10 16:52:00.000;BTCEUR;2021-04-10 16:51:00.000;2021-04-10 16:51:59.999;50311.87000000;50317.41000000;50318.47000000;50300.62000000;1.00943500;134;50780.98611034;0.63367600;31878.41384652
2021-04-10 16:53:00.000;BTCEUR;2021-04-10 16:52:00.000;2021-04-10 16:52:59.999;50317.41000000;50339.27000000;50348.77000000;50305.68000000;1.49527700;185;75258.77316981;0.29241700;14716.82506835
