event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-13 00:00:00.000;BTCEUR;2021-04-12 23:55:00.000;2021-04-12 23:59:59.999;50450.00000000;50401.08000000;50452.58000000;50385.41000000;12.82641400;646;646889.65011727;4.74920300;239563.33010867
2021-04-13 00:05:00.000;BTCEUR;2021-04-13 00:00:00.000;2021-04-13 00:04:59.999;50405.65000000;50322.14000000;50413.36000000;50322.12000000;5.15995500;450;259800.57603040;2.07755400;104604.59087111
2021-04-13 00:10:00.000;BTCEUR;2021-04-13 00:05:00.000;2021-04-13 00:09:59.999;50329.88000000;50338.20000000;50341.60000000;50289.85000000;4.62626700;441;232741.45500176;2.03233200;102255.00145921
2021-04-13 00:15:00.000;BTCEUR;2021-04-13 00:10:00.000;2021-04-13 00:14:59.999;50335.82000000;50303.00000000;50347.35000000;50300.47000000;5.90967900;431;297376.35564242;1.38651100;69775.06130843
2021-04-13 00:20:00.000;BTCEUR;2021-04-13 00:15:00.000;2021-04-13 00:19:59.999;50303.00000000;50317.26000000;50337.66000000;50284.88000000;14.10451000;549;709519.94226462;6.28012700;315969.76323664
2021-04-13 00:25:00.000;BTCEUR;2021-04-13 00:20:00.000;2021-04-13 00:24:59.999;50324.12000000;50341.01000000;50353.90000000;50302.59000000;3.24944900;384;163548.63608270;1.37205800;69054.95315585
2021-04-13 00:30:00.000;BTCEUR;2021-04-13 00:25:00.000;2021-04-13 00:29:59.999;50341.72000000;50289.24000000;50361.81000000;50289.24000000;4.85281600;455;244226.63708978;1.78086400;89633.28417738
2021-04-13 00:35:00.000;BTCEUR;2021-04-13 00:30:00.000;2021-04-13 00:34:59.999;50295.99000000;50352.78000000;50352.78000000;50285.61000000;7.24877800;407;364712.65251344;3.23230200;162655.72181916
2021-04-13 00:40:00.000;BTCEUR;2021-04-13 00:35:00.000;2021-04-13 00:39:59.999;50352.78000000;50320.66000000;50361.34000000;50300.00000000;5.63856100;360;283778.39356191;1.67504700;84316.03586160
2021-04-13 00:45:00.000;BTCEUR;2021-04-13 00:40:00.000;2021-04-13 00:44:59.999;50320.08000000;50319.34000000;50367.53000000;50281.96000000;6.60506400;433;332414.72990048;2.81656700;141744.48794035
2021-04-13 00:50:00.000;BTCEUR;2021-04-13 00:45:00.000;2021-04-13 00:49:59.999;50315.96000000;50379.31000000;50383.39000000;50287.78000000;4.13358100;382;208073.87237498;1.83644300;92452.59831987
2021-04-13 00:55:00.000;BTCEUR;2021-04-13 00:50:00.000;2021-04-13 00:54:59.999;50379.31000000;50425.05000000;50427.21000000;50373.26000000;4.97627700;355;250804.21977710;3.55081500;178965.26081823
2021-04-13 01:00:00.000;BTCEUR;2021-04-13 00:55:00.000;2021-04-13 00:59:59.999;50425.05000000;50422.86000000;50445.91000000;50392.10000000;6.05502600;366;305269.11635933;2.19631900;110743.09125889
2021-04-13 01:05:00.000;BTCEUR;2021-04-13 01:00:00.000;2021-04-13 01:04:59.999;50423.18000000;50366.32000000;50435.00000000;50325.99000000;10.72143300;443;540172.14879408;3.85218300;194128.54499151
2021-04-13 01:10:00.000;BTCEUR;2021-04-13 01:05:00.000;2021-04-13 01:09:59.999;50357.85000000;50371.68000000;50381.59000000;50346.34000000;4.28564100;319;215837.67754819;2.23548600;112594.01466022
2021-04-13 01:15:00.000;BTCEUR;2021-04-13 01:10:00.000;2021-04-13 01:14:59.999;50371.63000000;50421.75000000;50438.28000000;50363.21000000;12.92161900;505;651414.94124580;9.36877500;472307.00128133
2021-04-13 01:20:00.000;BTCEUR;2021-04-13 01:15:00.000;2021-04-13 01:19:59.999;50421.75000000;50361.50000000;50437.00000000;50340.43000000;8.65732500;460;436209.79906243;3.41424500;172062.24771923
