event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-16 00:00:00.000;BTCEUR;2021-04-15 23:55:00.000;2021-04-15 23:59:59.999;53109.34000000;53083.69000000;53124.84000000;53035.52000000;9.19715200;877;488160.22525774;4.47480100;237517.05417631
2021-04-16 00:05:00.000;BTCEUR;2021-04-16 00:00:00.000;2021-04-16 00:04:59.999;53090.48000000;53082.82000000;53108.91000000;53025.17000000;6.68011400;669;354519.06458234;3.86894100;205334.38792714
2021-04-16 00:10:00.000;BTCEUR;2021-04-16 00:05:00.000;2021-04-16 00:09:59.999;53084.14000000;53106.71000000;53173.90000000;53072.15000000;5.31002600;619;282099.07969562;3.85997700;205064.23550882
2021-04-16 00:15:00.000;BTCEUR;2021-04-16 00:10:00.000;2021-04-16 00:14:59.999;53111.91000000;53174.08000000;53211.55000000;53045.74000000;12.89370200;920;685124.01793184;7.89160700;419323.63096286
2021-04-16 00:20:00.000;BTCEUR;2021-04-16 00:15:00.000;2021-04-16 00:19:59.999;53170.63000000;53143.03000000;53197.06000000;53121.22000000;9.87908600;772;525173.58355480;3.42212600;181940.29768903
2021-04-16 00:25:00.000;BTCEUR;2021-04-16 00:20:00.000;2021-04-16 00:24:59.999;53143.03000000;53046.59000000;53157.71000000;52968.65000000;12.66671000;824;672003.99252539;2.81449200;149256.15090446
2021-04-16 00:30:00.000;BTCEUR;2021-04-16 00:25:00.000;2021-04-16 00:29:59.999;53051.68000000;53066.10000000;53067.12000000;52943.91000000;7.24356100;678;384025.05140502;4.25194800;225439.96579080
2021-04-16 00:35:00.000;BTCEUR;2021-04-16 00:30:00.000;2021-04-16 00:34:59.999;53067.79000000;53103.26000000;53154.85000000;53043.64000000;5.08277400;565;269848.53285906;2.34746200;124643.15622752
2021-04-16 00:40:00.000;BTCEUR;2021-04-16 00:35:00.000;2021-04-16 00:39:59.999;53115.31000000;53095.39000000;53120.31000000;53048.51000000;4.48206600;574;237963.55223168;2.75435000;146248.73955100
2021-04-16 00:45:00.000;BTCEUR;2021-04-16 00:40:00.000;2021-04-16 00:44:59.999;53100.70000000;53007.07000000;53102.68000000;53004.28000000;5.25968100;679;278974.57913360;1.72929400;91727.13730293
