event_time;symbol;kline_start_time;kline_close_time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-18 00:00:00.000;BTCEUR;2021-04-17 23:30:00.000;2021-04-17 23:59:59.999;51279.99000000;51141.83000000;51338.63000000;51038.30000000;28.62245500;3287;1464578.38737141;14.15386000;724361.05400194
2021-04-18 00:30:00.000;BTCEUR;2021-04-18 00:00:00.000;2021-04-18 00:29:59.999;51141.94000000;51060.00000000;51207.66000000;51050.42000000;22.81614400;2577;1166632.89529076;9.18652300;469797.65209084
2021-04-18 01:00:00.000;BTCEUR;2021-04-18 00:30:00.000;2021-04-18 00:59:59.999;51060.00000000;51107.70000000;51176.42000000;50854.51000000;29.79760700;3025;1520007.05750667;16.55099600;844104.22245330
2021-04-18 01:30:00.000;BTCEUR;2021-04-18 01:00:00.000;2021-04-18 01:29:59.999;51107.69000000;50785.97000000;51236.66000000;50768.38000000;22.80189100;2538;1162596.04027108;11.98851000;611161.93532256
2021-04-18 02:00:00.000;BTCEUR;2021-04-18 01:30:00.000;2021-04-18 01:59:59.999;50786.04000000;50594.44000000;50860.25000000;50558.77000000;43.58178800;2804;2210271.43886511;18.76783800;952097.69069106
2021-04-18 02:30:00.000;BTCEUR;2021-04-18 02:00:00.000;2021-04-18 02:29:59.999;50594.45000000;50294.27000000;50868.53000000;50294.27000000;60.86016700;3273;3079301.14387489;22.85814400;1157639.37921671
2021-04-18 03:00:00.000;BTCEUR;2021-04-18 02:30:00.000;2021-04-18 02:59:59.999;50304.07000000;50124.42000000;50451.35000000;50124.42000000;51.83567500;3468;2606907.79576153;22.50352900;1132007.54966688
2021-04-18 03:30:00.000;BTCEUR;2021-04-18 03:00:00.000;2021-04-18 03:29:59.999;50124.42000000;50141.54000000;50325.43000000;49870.38000000;99.35337300;5037;4973144.18663038;33.34919600;1669807.85473514
2021-04-18 04:00:00.000;BTCEUR;2021-04-18 03:30:00.000;2021-04-18 03:59:59.999;50129.98000000;49970.84000000;50363.45000000;49876.23000000;45.28146000;2295;2271768.54468388;18.56417700;931576.55783977
2021-04-18 04:30:00.000;BTCEUR;2021-04-18 04:00:00.000;2021-04-18 04:29:59.999;49964.90000000;49852.72000000;50158.92000000;49580.00000000;71.33197600;3235;3551478.53143467;24.94905900;1242401.01455050
2021-04-18 05:00:00.000;BTCEUR;2021-04-18 04:30:00.000;2021-04-18 04:59:59.999;49853.07000000;49639.28000000;49938.45000000;49453.34000000;58.85301500;3126;2923115.00606770;25.70112800;1276632.93768478
2021-04-18 05:30:00.000;BTCEUR;2021-04-18 05:00:00.000;2021-04-18 05:29:59.999;49639.40000000;48280.37000000;49753.23000000;47381.37000000;227.08489100;10972;11018104.80025894;75.71843000;3675752.08090687
2021-04-18 06:00:00.000;BTCEUR;2021-04-18 05:30:00.000;2021-04-18 05:59:59.999;48282.47000000;47425.16000000;49699.99000000;45501.00000000;319.39880800;18333;14966831.88131194;138.67997900;6509845.11480307
2021-04-18 06:30:00.000;BTCEUR;2021-04-18 06:00:00.000;2021-04-18 06:29:59.999;47400.00000000;47234.65000000;47616.18000000;46673.15000000;224.53161300;8976;10605317.05471560;104.38282200;4932212.14107447
2021-04-18 07:00:00.000;BTCEUR;2021-04-18 06:30:00.000;2021-04-18 06:59:59.999;47234.65000000;46738.69000000;47844.99000000;46513.53000000;220.62564400;7817;10413955.33800375;93.13642600;4395370.04522789
2021-04-18 07:30:00.000;BTCEUR;2021-04-18 07:00:00.000;2021-04-18 07:29:59.999;46738.70000000;47342.16000000;47626.42000000;46664.28000000;162.60354300;7992;7694967.63470278;75.20213300;3557702.08292429
2021-04-18 08:00:00.000;BTCEUR;2021-04-18 07:30:00.000;2021-04-18 07:59:59.999;47342.16000000;47426.29000000;47585.50000000;47001.00000000;136.18538300;8608;6446685.60166683;71.34982400;3377431.02557661
2021-04-18 08:30:00.000;BTCEUR;2021-04-18 08:00:00.000;2021-04-18 08:29:59.999;47411.25000000;48017.99000000;48129.43000000;47363.12000000;180.62169300;11943;8632171.70606446;88.57234900;4232860.20129197
2021-04-18 09:00:00.000;BTCEUR;2021-04-18 08:30:00.000;2021-04-18 08:59:59.999;48012.97000000;47568.06000000;48018.08000000;47277.49000000;179.76650300;11609;8549377.18654946;83.09304600;3950817.16088635
2021-04-18 09:30:00.000;BTCEUR;2021-04-18 09:00:00.000;2021-04-18 09:29:59.999;47569.12000000;48380.23000000;48447.89000000;47565.15000000;164.16506100;13780;7889771.41780745;88.54744700;4256052.57924107
2021-04-18 10:00:00.000;BTCEUR;2021-04-18 09:30:00.000;2021-04-18 09:59:59.999;48381.06000000;48218.57000000;48795.82000000;48176.61000000;158.28935500;13512;7677957.81949962;67.89138500;3292426.59773961
2021-04-18 10:30:00.000;BTCEUR;2021-04-18 10:00:00.000;2021-04-18 10:29:59.999;48218.57000000;47891.56000000;48497.80000000;47812.75000000;162.05130400;12085;7788058.67363606;73.79907500;3547574.87663089
